id,userId,dateOfBirth,address
52,304,1/5/2002,025 Iowa Junction
53,874,12/22/1996,9909 Bluejay Park
54,460,5/7/1988,3 Maple Wood Road
55,256,12/8/1989,40 2nd Road
56,477,7/12/1989,51 Northfield Park
57,808,11/4/1981,29594 Norway Maple Avenue
58,732,7/18/2000,3 Northwestern Point
59,490,10/12/1999,3 Hoard Avenue
60,699,2/4/1998,351 Kim Drive
61,236,10/1/1994,13 Melody Center
62,963,5/19/1989,4 Montana Park
63,636,6/6/1998,772 Alpine Junction
64,964,10/29/1992,13 Kings Hill
65,354,9/18/1984,63 Bartillon Alley
66,704,7/18/1996,3961 Acker Road
67,467,12/6/1987,7243 Boyd Place
68,614,7/20/1987,3359 Randy Parkway
69,669,8/24/2004,5 Huxley Parkway
70,170,12/1/1999,2 Carberry Center
71,816,2/29/1992,750 Dunning Street
72,81,6/19/1985,705 Acker Street
73,857,5/22/2002,71 Monterey Court
74,78,10/29/2003,1 Dexter Lane
75,140,11/1/2003,0457 Hollow Ridge Center
76,824,9/30/1997,68 Grasskamp Park
77,571,3/17/1986,52096 Bellgrove Avenue
78,745,7/10/1999,355 Hagan Junction
79,226,3/13/2001,1 Ridgeway Terrace
80,297,10/20/2005,82 Veith Junction
81,708,7/22/1995,5 Johnson Terrace
82,921,7/11/1996,751 Karstens Lane
83,947,12/27/1984,3 Cherokee Avenue
84,498,7/30/1994,320 Morningstar Park
85,894,11/10/1984,06392 Delaware Lane
86,759,1/21/1995,2 Union Crossing
87,230,6/5/2003,055 Bayside Point
88,66,12/2/1986,80 Crowley Crossing
89,522,5/10/1994,827 Village Parkway
90,484,10/1/1987,5103 Columbus Junction
91,711,6/23/1999,395 Nevada Way
92,749,10/5/1987,2 Saint Paul Point
93,400,4/30/2004,7 Pearson Terrace
94,671,7/20/1998,4961 Morningstar Trail
95,890,7/30/2005,9576 Kim Trail
96,84,9/22/1994,20086 Erie Terrace
97,338,7/6/1990,357 Bellgrove Circle
98,856,8/14/1993,31 Elka Street
99,512,10/25/1998,052 Bluestem Circle
100,52,4/24/1990,896 Spohn Plaza
101,355,12/12/1992,98 Birchwood Court
102,694,10/30/1981,54840 Sage Circle
103,910,6/15/2001,58234 Spaight Terrace
104,130,11/28/1985,77479 Scoville Plaza
105,178,12/8/2004,140 Brentwood Street
106,301,9/2/1985,26816 Nevada Street
107,114,12/22/1996,61560 Merchant Road
108,606,8/2/2002,931 Barnett Trail
109,751,4/1/2001,01 East Circle
110,474,1/15/1994,744 Mesta Park
111,559,1/2/1997,5 Sachs Road
112,385,11/10/1999,43800 Esker Center
113,934,7/4/1988,0 Stang Circle
114,423,5/28/2001,60600 Sutherland Road
115,873,11/8/1981,977 Schlimgen Street
116,438,8/9/1993,5 Macpherson Avenue
117,997,7/4/1990,62469 Little Fleur Terrace
118,419,11/14/1993,3271 Autumn Leaf Trail
119,834,9/15/2002,590 Kenwood Hill
120,118,9/16/1992,82296 Maple Wood Junction
121,129,10/23/1994,99 Spohn Avenue
122,758,10/22/2000,4194 Dahle Trail
123,778,7/15/1981,6 Forster Parkway
124,849,12/1/1994,54270 Reindahl Drive
125,597,3/6/1985,05 Roth Court
126,164,3/9/1996,314 Upham Court
127,670,1/17/1988,5751 Lindbergh Avenue
128,754,4/12/2001,33142 Cardinal Terrace
129,35,12/6/2003,90652 Village Green Pass
130,251,1/17/1992,84656 La Follette Plaza
131,182,4/14/2003,44207 Golf Lane
132,282,11/27/1989,80583 Burrows Place
133,238,12/26/1982,459 Ramsey Court
134,741,7/12/2002,29332 Westridge Way
135,206,9/14/1987,53464 Dakota Junction
136,160,8/26/1988,596 Vera Way
137,254,10/25/1994,97 Carioca Terrace
138,970,11/6/1980,1 Alpine Junction
139,884,3/12/1987,3 Hauk Place
140,242,9/15/1998,8591 Reindahl Terrace
141,435,11/4/1983,31 Oneill Drive
142,295,6/16/1985,73094 Meadow Valley Park
143,431,3/23/2000,9415 Heffernan Place
144,261,7/15/1984,8 Iowa Hill
145,487,1/12/2005,33 Red Cloud Point
146,987,2/21/1996,24 Kropf Avenue
147,200,9/14/1996,2 Red Cloud Parkway
148,907,2/24/2004,94769 Maywood Court
149,541,8/13/1981,8 Heath Trail
150,88,10/30/1981,65 Bonner Pass
151,845,10/31/2003,96 Declaration Lane
152,489,4/7/2000,55 Debs Lane
153,197,2/28/1986,3 Evergreen Avenue
154,190,9/6/1985,3 Lien Trail
155,103,9/4/2000,007 Bay Junction
156,693,1/11/1981,095 Susan Avenue
157,448,8/24/1991,2530 Novick Place
158,929,9/27/1988,1790 Rigney Trail
159,812,3/17/1992,62971 Kedzie Park
160,572,10/8/1994,585 Myrtle Hill
161,905,3/20/2000,647 Bluejay Pass
162,748,1/4/1992,04515 Carpenter Road
163,47,12/16/1981,394 Colorado Parkway
164,642,5/4/1985,7 Burning Wood Place
165,683,2/6/1982,03 South Circle
166,940,6/22/2005,45 International Terrace
167,953,5/28/1984,113 Lunder Street
168,273,10/31/2000,7 Fair Oaks Center
169,742,10/29/1982,40 Anhalt Road
170,63,2/24/1996,53 Schurz Court
171,518,1/22/1998,954 Ramsey Avenue
172,296,2/1/1984,0 Washington Hill
173,415,3/1/1997,39 Northland Road
174,191,6/7/1991,7 Ridgeview Park
175,115,8/11/2001,95 Tomscot Circle
176,39,5/6/1997,42385 Fulton Point
177,797,10/3/1988,14 Mallard Junction
178,761,6/14/1995,708 West Court
179,177,1/7/1997,76414 Autumn Leaf Way
180,212,1/5/1984,42 Meadow Valley Hill
181,675,12/19/2002,2545 Stoughton Terrace
182,548,12/16/1997,210 Valley Edge Lane
183,830,3/29/1981,7057 Tennessee Street
184,50,4/27/1987,5933 Stephen Plaza
185,433,4/8/1986,48 Bowman Place
186,37,4/25/2000,635 Bluestem Place
187,154,8/27/1986,60 Anthes Drive
188,557,12/9/2002,0563 Nancy Street
189,952,7/29/2000,00993 Pearson Hill
190,602,6/29/2003,5456 6th Trail
191,951,12/27/1993,45598 Goodland Street
192,371,10/8/2001,429 Talmadge Trail
193,314,11/24/1981,88 Magdeline Court
194,328,2/13/2004,5 Butternut Street
195,333,12/11/2003,73 Burrows Pass
196,703,10/21/1983,99421 Ronald Regan Way
197,31,3/7/2005,6604 Comanche Hill
198,325,4/18/1995,4 Birchwood Point
199,878,7/3/1999,3 Comanche Junction
200,233,1/28/1989,191 Ryan Trail
201,995,9/28/1996,17155 Granby Place
202,62,5/30/1998,36351 Holy Cross Center
203,128,3/26/1994,39 Longview Lane
204,514,8/6/1987,66 Lighthouse Bay Center
205,224,11/5/1981,78345 Novick Circle
206,593,2/25/1988,572 Rowland Pass
207,515,6/6/1988,39330 Fieldstone Parkway
208,536,12/16/1992,2 Service Parkway
209,106,2/8/2000,18273 Green Drive
210,644,11/29/1981,30 Hauk Trail
211,979,9/20/1996,78 Petterle Avenue
212,885,5/12/1997,487 Florence Point
213,168,7/16/1990,637 Hanson Street
214,793,8/9/1995,97 School Lane
215,681,3/27/1984,42 Claremont Pass
216,608,9/14/1997,3 Bay Terrace
217,203,11/9/1987,29574 Arkansas Terrace
218,171,12/10/1989,52 Erie Crossing
219,505,2/21/1996,576 Upham Center
220,94,7/19/1983,067 Blaine Point
221,427,2/29/2000,9033 Mccormick Hill
222,388,9/16/2004,44008 Rockefeller Way
223,925,5/20/1996,12 Hoffman Place
224,730,3/23/2001,49 Crowley Street
225,977,4/21/2005,953 Springview Pass
226,426,11/23/1981,443 Namekagon Place
227,959,3/12/1984,2228 Schmedeman Crossing
228,624,10/14/1991,0 Westerfield Terrace
229,74,4/3/2005,65 Spohn Point
230,869,11/19/1992,69683 Carioca Alley
231,855,11/2/1991,5705 International Crossing
232,348,5/16/1983,32151 Glacier Hill Place
233,790,12/18/1981,259 Harper Alley
234,398,6/14/2000,27 Kipling Way
235,731,12/23/1997,50 Carioca Pass
236,158,11/6/2003,8027 Heffernan Point
237,98,11/6/2003,0528 Mitchell Lane
238,551,8/13/1981,03 Forest Point
239,655,6/19/2001,003 Huxley Plaza
240,25,10/30/1982,84530 Service Crossing
241,712,10/5/2003,474 Reindahl Trail
242,146,7/21/1987,4968 Scoville Plaza
243,56,7/16/2004,7305 Mitchell Circle
244,992,10/7/1989,65612 Mifflin Center
245,352,11/20/2002,523 Namekagon Drive
246,249,9/29/1991,37984 Caliangt Hill
247,253,3/3/1989,80 Hagan Park
248,34,4/22/1987,93460 Iowa Avenue
249,192,3/24/1981,8 Bayside Lane
250,877,3/26/1989,7 American Crossing
251,117,1/22/1984,0623 Mesta Avenue
252,351,9/4/1984,716 Carey Trail
253,483,6/23/2003,50 Division Court
254,246,1/23/1994,685 Declaration Park
255,582,10/24/1991,023 Onsgard Lane
256,150,11/16/1981,3 Barby Alley
257,257,5/12/1998,10399 Blackbird Drive
258,807,1/8/2003,14870 Golden Leaf Terrace
259,791,10/15/2001,6 Dixon Avenue
260,588,10/17/1997,7 Kedzie Lane
261,698,1/18/1986,8228 Schlimgen Plaza
262,912,10/20/1985,4069 Nevada Hill
263,126,12/17/1999,7145 Meadow Vale Alley
264,331,11/6/1999,35698 Scoville Junction
265,523,6/11/1999,54317 Linden Avenue
266,453,6/21/1997,02403 Maple Crossing
267,269,11/14/1986,82 Graceland Point
268,76,9/18/1998,1 3rd Parkway
269,944,7/10/1984,5 Randy Hill
270,815,10/19/1992,6 Utah Street
271,696,12/20/2002,54 Arapahoe Plaza
272,981,6/10/1988,2290 Merry Road
273,494,5/22/1995,0270 Mccormick Lane
274,521,8/9/1981,5416 Butterfield Lane
275,760,10/18/1996,74 South Pass
276,843,10/26/1987,9850 Lighthouse Bay Trail
277,839,10/12/1996,5626 Canary Drive
278,418,11/5/1989,9099 Starling Crossing
279,285,6/20/1990,0 Carberry Point
280,851,2/3/1989,78 Badeau Road
281,19,6/2/1985,8767 Sachs Plaza
282,818,9/13/1992,6 Kings Center
283,8,3/8/1992,04 Dwight Parkway
284,58,1/3/2003,8678 Fallview Parkway
285,578,5/26/1981,32 Gina Terrace
286,326,12/3/1997,212 Donald Street
287,155,8/20/2005,136 Sutteridge Crossing
288,456,11/20/1990,81 Graceland Plaza
289,109,4/3/1992,5431 Porter Way
290,954,5/24/1985,04 Bobwhite Parkway
291,340,7/24/2003,41 Barby Parkway
292,623,11/11/1991,28 Montana Avenue
293,668,12/3/1992,8888 Evergreen Avenue
294,865,3/20/1997,372 Annamark Parkway
295,829,11/29/1986,50534 Memorial Court
296,278,1/4/1987,25 Grasskamp Lane
297,752,4/8/1991,9 Brentwood Place
298,221,1/25/1992,05448 Meadow Valley Court
299,802,8/19/2004,878 Ridgeway Trail
300,262,7/31/1984,086 Fordem Trail
301,173,1/16/1988,9 Waywood Road
302,429,2/21/2000,33 Basil Court
303,715,3/1/1981,7 Birchwood Hill
304,457,1/31/2004,441 Anthes Pass
305,955,11/5/1988,976 Delladonna Park
306,736,6/25/2000,57 Meadow Ridge Alley
307,309,10/6/2002,2 American Ash Court
308,148,9/14/1986,20 Badeau Alley
309,629,1/21/1993,2959 Calypso Street
310,619,9/16/1984,57 Susan Pass
311,611,3/10/1997,4536 Maple Circle
312,405,5/18/1981,386 Maple Court
313,24,12/12/1982,7 Blue Bill Park Lane
314,214,10/8/2005,4 Cardinal Crossing
315,380,9/22/1995,5 Fisk Park
316,998,3/23/1985,75 Leroy Lane
317,247,7/28/2005,0 Spenser Park
318,45,2/6/2001,6717 Marquette Drive
319,733,1/11/1997,88 Barnett Drive
320,307,1/29/1983,79 Fair Oaks Hill
321,666,4/13/1997,43 Swallow Street
322,727,11/25/1984,466 Express Road
323,971,11/3/1999,12 Burrows Place
324,577,3/25/1989,25 Caliangt Trail
325,680,10/19/2000,64 Kim Center
326,459,7/27/1982,49535 Hoepker Plaza
327,989,5/7/1983,058 Monica Terrace
328,143,1/27/1990,141 Washington Street
329,592,6/6/1987,62068 Warner Trail
330,91,9/19/1986,68785 Arapahoe Way
331,892,5/24/1987,09 Norway Maple Circle
332,397,2/4/1988,0215 Scofield Avenue
333,244,9/8/1985,93704 Melby Park
334,188,10/6/2002,09664 Anhalt Crossing
335,805,3/25/1984,818 Granby Terrace
336,302,4/3/2003,8 Ronald Regan Lane
337,90,2/24/1990,5373 Elmside Road
338,770,10/16/1992,357 Westerfield Parkway
339,225,3/25/1993,62488 Knutson Way
340,404,6/28/1984,6076 Milwaukee Center
341,958,5/4/1983,77359 Express Parkway
342,547,3/16/1991,456 Lotheville Center
343,766,2/12/1985,554 Milwaukee Parkway
344,167,5/1/1986,25 Walton Parkway
345,87,5/19/1986,2267 Westend Road
346,709,1/23/2003,3 Commercial Center
347,124,10/10/1987,33 Springs Place
348,275,3/22/2000,51 Lunder Court
349,142,6/4/1993,412 Valley Edge Crossing
350,270,7/10/1996,64 Clemons Pass
351,780,2/7/1991,07 Packers Drive
352,16,3/26/1981,87 Northport Terrace
353,322,3/14/1987,72884 Miller Place
354,695,4/26/1994,64805 Kensington Lane
355,508,12/7/1985,543 Vidon Pass
356,939,8/24/2002,1 Ridge Oak Lane
357,746,9/29/1987,675 6th Road
358,4,1/16/1996,83130 Sachs Park
359,968,5/11/1997,92 Westend Avenue
360,707,9/25/2000,92 Montana Point
361,926,12/16/1983,0445 Anniversary Court
362,29,8/23/1998,3 Gerald Avenue
363,312,11/3/1982,3 Redwing Hill
364,399,9/8/1987,9 Glacier Hill Center
365,414,3/18/1997,37 Elka Trail
366,476,10/15/1994,405 Leroy Way
367,55,5/2/1997,4826 Fisk Place
368,689,4/21/2002,692 Morningstar Pass
369,440,11/17/1993,644 Ronald Regan Crossing
370,909,3/13/1992,825 Lighthouse Bay Avenue
371,72,7/13/1990,8 Manley Alley
372,853,4/30/2004,74 Ryan Drive
373,941,6/1/1997,4 Scoville Junction
374,677,10/1/2001,2 Westport Trail
375,691,8/22/1989,8527 Gulseth Center
376,180,3/18/1985,1 Pearson Point
377,89,9/11/1989,10821 Northwestern Avenue
378,134,3/17/2001,287 Fairfield Alley
379,313,10/19/1984,49 Cambridge Lane
380,516,1/28/1987,9399 Michigan Plaza
381,481,5/13/1992,8047 Bultman Avenue
382,598,5/24/1997,82478 Rockefeller Junction
383,684,7/20/1985,77621 Messerschmidt Center
384,565,10/4/2000,42759 Village Green Hill
385,290,8/12/1990,9 Walton Alley
386,825,2/24/1988,3952 Bartillon Alley
387,788,10/14/1988,7 Longview Trail
388,960,5/12/1992,0 Rutledge Place
389,903,1/2/1991,91 Birchwood Way
390,260,9/6/1982,829 Warner Parkway
391,613,9/24/1993,6 Brickson Park Street
392,838,12/13/1985,4 Amoth Avenue
393,990,2/1/1987,065 Mesta Court
394,908,8/2/1986,8 Steensland Avenue
395,616,6/12/1989,87493 Mesta Alley
396,635,6/28/2004,0 Lakewood Center
397,436,8/15/1998,3 Lindbergh Avenue
398,967,7/4/1996,3397 Fordem Parkway
399,458,12/5/1989,1 Surrey Drive
400,652,3/28/1991,145 Farwell Trail
401,289,12/27/1984,0 Clarendon Street
402,653,4/3/2001,44532 Haas Way
403,283,1/4/1985,0 Declaration Point
404,506,4/15/1987,2 Marquette Trail
405,659,7/19/1988,8687 Atwood Junction
406,895,6/6/1992,7350 Heath Avenue
407,166,4/10/1990,1 Rigney Avenue
408,475,1/23/1993,4255 Loftsgordon Circle
409,407,5/8/1987,686 5th Point
410,550,12/23/1994,4 Farmco Crossing
411,445,10/22/1989,1 Merchant Lane
412,743,12/8/1991,3606 Thackeray Place
413,11,8/15/1992,17897 Cody Avenue
414,112,2/6/2005,754 Old Gate Park
415,852,6/1/1998,86 Harper Plaza
416,999,2/20/2002,54343 Brickson Park Circle
417,526,10/5/2003,70 Toban Junction
418,153,6/27/1998,5 Anzinger Way
419,728,8/11/2004,91 Rutledge Junction
420,617,3/28/1985,77217 Hudson Street
421,157,12/25/1991,9559 Kensington Plaza
422,724,11/25/1997,7 Delaware Lane
423,685,5/3/2001,72167 Scofield Parkway
424,633,3/22/1991,4770 Badeau Drive
425,3,10/18/1993,71 North Junction
426,774,1/23/1991,8632 Mallard Park
427,159,8/31/1986,1 Badeau Pass
428,339,7/23/1996,2486 Summit Crossing
429,452,2/12/1994,658 Harper Hill
430,867,8/29/1990,4 Westend Road
431,102,1/23/1998,7 Transport Parkway
432,564,10/27/2001,0 Granby Park
433,439,9/12/2005,28 Jenifer Trail
434,377,12/14/1987,9816 Nancy Terrace
435,420,6/3/1988,8 Warner Place
436,359,11/7/1982,55 Jackson Trail
437,365,8/30/1986,50 Banding Junction
438,15,12/15/2000,2 Main Road
439,85,8/15/2000,28057 Oakridge Park
440,67,2/25/1998,34228 Evergreen Parkway
441,527,7/15/1999,0308 Carioca Junction
442,993,11/30/1990,6 La Follette Street
443,300,11/21/1989,184 Lakeland Street
444,615,5/5/1994,4433 Petterle Hill
445,553,4/25/1982,83 Everett Terrace
446,341,5/3/2001,8 Spenser Crossing
447,268,2/19/1991,2 Bashford Drive
448,22,9/15/1995,207 Meadow Vale Center
449,640,9/6/1989,965 3rd Trail
450,985,4/21/2005,1 Manitowish Park
451,165,10/14/1987,50 Sage Drive
452,994,10/28/1985,8128 7th Pass
453,996,10/18/1982,1 Shopko Pass
454,641,8/5/1997,8934 Sunnyside Junction
455,41,3/26/1996,604 Hermina Parkway
456,500,9/25/1982,5 Knutson Alley
457,176,9/14/1989,1 Roth Parkway
458,868,4/18/1987,9 Lakewood Pass
459,627,1/16/1991,6299 Onsgard Trail
460,768,10/23/1994,55 Sachtjen Pass
461,156,5/25/1998,3 Oriole Lane
462,410,6/20/1997,82 Union Drive
463,444,4/18/1997,2118 Bunker Hill Pass
464,193,3/14/2005,035 Hoard Trail
465,789,4/15/1992,1181 Kings Trail
466,266,10/12/1998,52 Mcguire Place
467,195,6/28/1983,06 Main Trail
468,595,2/24/1985,87906 Waubesa Circle
469,650,6/28/1990,3114 Rieder Drive
470,387,1/13/1989,4 Old Gate Point
471,590,1/9/1996,3 Melby Avenue
472,525,8/6/1988,18 Declaration Place
473,777,9/15/1984,1683 Sachtjen Point
474,303,7/11/1990,29983 Westport Junction
475,202,12/10/2002,02795 Springs Center
476,315,4/1/1990,97 Butterfield Pass
477,900,7/26/2004,61 Hermina Parkway
478,946,6/19/1982,7332 Nova Circle
479,978,9/21/1991,8424 Moland Center
480,194,1/14/1984,1 Boyd Circle
481,841,8/2/2004,1813 Darwin Street
482,305,9/14/1983,56843 Knutson Lane
483,568,7/5/2005,68770 Huxley Trail
484,286,6/3/2005,4196 Independence Circle
485,21,6/8/1996,6464 Emmet Trail
486,38,7/16/2003,911 Surrey Park
487,847,1/4/1993,20 Bultman Road
488,480,7/9/1984,2577 Dexter Hill
489,402,11/3/1981,384 Chive Avenue
490,888,9/10/2005,5 Artisan Pass
491,360,12/17/1981,2593 Hoard Avenue
492,13,9/2/1998,9 Morningstar Alley
493,245,9/21/1981,1 Heffernan Trail
494,545,4/5/1983,8368 Toban Park
495,710,12/23/1983,30 Westridge Drive
496,700,5/17/2000,72559 Sachtjen Parkway
497,723,4/16/2003,884 Ridgeway Junction
498,876,5/30/1994,1 Center Point
499,310,1/26/1987,6 Fallview Parkway
500,258,2/3/1990,195 Anderson Alley
501,327,2/25/1985,4260 Killdeer Pass
502,835,8/18/1982,32731 Banding Trail
503,395,4/5/1982,9 Continental Drive
504,757,3/28/1997,82 Dovetail Park
505,347,12/20/1999,973 Hintze Avenue
506,823,10/17/1992,49684 Armistice Way
507,208,3/17/1982,78 Waubesa Drive
508,872,2/14/1997,06 Del Sol Plaza
509,637,12/18/1999,800 Sunfield Plaza
510,794,5/31/1986,6781 International Court
511,532,10/4/1993,332 Granby Place
512,556,6/14/1994,0853 Schurz Parkway
513,735,3/24/1995,56303 Swallow Plaza
514,626,7/15/1984,320 Granby Park
515,263,10/2/2000,8 American Ash Center
516,73,6/28/1995,29502 Maryland Road
517,391,4/22/1985,9 Cambridge Crossing
518,697,10/25/1988,1 Eliot Parkway
519,984,3/29/1987,640 Hauk Trail
520,827,4/9/1992,96017 Lindbergh Park
521,219,11/2/1997,27 Dahle Circle
522,185,11/4/1985,2827 Bay Place
523,837,5/24/1998,124 Messerschmidt Center
524,965,2/21/2001,85235 Maywood Terrace
525,437,10/13/1994,21 Hoffman Park
526,147,3/1/2003,693 Hintze Drive
527,930,5/23/1982,5561 Macpherson Circle
528,57,6/28/1996,14 Arizona Junction
529,957,1/20/2002,58 Swallow Alley
530,255,3/17/1990,79261 Westport Place
531,917,11/10/1999,130 Jenna Park
532,316,7/1/1984,03077 Northport Court
533,234,10/24/1982,69 Thierer Junction
534,531,10/7/1998,13394 Carberry Trail
535,609,9/11/2004,26 Lakeland Terrace
536,406,12/3/1990,76680 Oak Trail
537,787,1/10/2005,64923 Harbort Way
538,792,2/26/1997,81685 Shopko Street
539,775,11/16/2003,5 Northport Drive
540,26,8/12/1995,917 Dunning Terrace
541,647,3/18/1989,11 Oak Terrace
542,424,11/9/1996,0476 Westerfield Court
543,911,8/1/1998,222 Anniversary Junction
544,883,5/23/1991,6551 Sherman Street
545,881,2/17/1987,1489 Pierstorff Plaza
546,20,1/10/1985,44402 Monica Lane
547,375,2/3/1981,48 Susan Plaza
548,131,6/22/1991,2457 Grim Alley
549,432,9/1/1998,17177 Brentwood Road
550,59,8/6/2005,62928 Porter Circle
551,12,7/23/1997,866 Kim Drive
552,227,12/31/1988,32 Linden Plaza
553,714,7/11/2000,5056 Ridgeview Drive
554,441,9/6/1981,23 Rigney Hill
555,569,6/22/2002,317 Sundown Parkway
556,386,3/4/1989,8 Del Mar Court
557,634,10/20/1993,0 Harbort Place
558,343,4/16/1991,43 Coleman Road
559,897,11/24/1981,9990 Artisan Parkway
560,517,8/6/2001,81437 Mosinee Avenue
561,455,4/8/1986,3 Superior Plaza
562,980,3/24/1984,146 Hallows Crossing
563,210,6/30/1986,551 Dakota Park
564,223,10/29/1986,43164 Spenser Circle
565,854,3/24/1992,075 Ronald Regan Crossing
566,932,11/5/1989,94390 Reindahl Terrace
567,658,7/9/1994,3588 Morningstar Parkway
568,187,7/16/2002,2 North Way
569,113,3/1/1988,57277 Summerview Way
570,618,4/23/1995,553 Darwin Terrace
571,321,6/7/1998,810 Rusk Pass
572,974,12/8/1993,91959 Marquette Plaza
573,991,4/10/1988,844 Ridge Oak Pass
574,17,4/22/1984,54403 Vermont Drive
575,239,12/18/1987,2 Spenser Drive
576,232,2/22/1982,1 Elka Trail
577,511,12/9/1981,73375 Maywood Avenue
578,344,4/25/1983,39389 Carey Hill
579,850,3/31/1985,01 Westerfield Plaza
580,858,10/13/1999,303 Sunfield Parkway
581,729,1/16/1983,58 Fuller Avenue
582,83,7/30/1999,8 Golf Court
583,922,12/8/2000,471 Canary Plaza
584,272,4/4/2005,6688 Fordem Center
585,229,8/21/1992,3990 Heffernan Terrace
586,904,7/13/1985,423 Kennedy Road
587,75,5/7/2000,3989 Stang Place
588,519,1/18/1992,39852 Upham Park
589,661,10/11/1994,75934 Fair Oaks Lane
590,686,9/19/1996,5 Mayer Point
591,174,3/10/1989,30670 Pleasure Place
592,705,5/14/1998,1 Crownhardt Court
593,832,6/17/1991,0228 School Park
594,720,11/12/1981,0 Hazelcrest Court
595,116,10/5/1997,107 Waxwing Terrace
596,463,10/26/2002,6212 Northport Avenue
597,323,3/23/2000,802 Ronald Regan Street
598,36,11/12/1984,2 Stone Corner Crossing
599,468,4/20/2004,5513 Lunder Drive
600,46,9/23/1988,3182 Emmet Lane
601,667,12/23/2002,12 Spohn Lane
602,330,12/27/1988,9818 Mcguire Circle
603,217,8/3/1997,4 Farmco Road
604,144,7/24/2001,275 Ohio Court
605,334,8/22/1996,391 Del Sol Drive
606,574,9/2/1995,2443 Melody Center
607,828,8/20/1991,66708 Bayside Road
608,798,5/23/1990,6 Longview Circle
609,937,11/6/1980,6525 Loftsgordon Court
610,813,7/22/1997,382 Talmadge Center
611,738,4/4/1987,58 Browning Park
612,630,12/3/1998,9 Goodland Trail
613,956,7/24/2005,1646 Duke Terrace
614,472,4/3/1997,26965 Prentice Place
615,152,9/29/1987,211 Pierstorff Road
616,861,6/16/1981,8 Meadow Valley Plaza
617,501,10/9/2002,9 Donald Park
618,734,2/20/1999,670 Clove Lane
619,594,8/17/1990,1 Russell Lane
620,596,2/15/1983,6 Weeping Birch Pass
621,71,1/13/1994,615 Sherman Plaza
622,510,8/16/1983,2991 Merry Drive
623,284,12/25/1981,55 Hintze Crossing
624,138,6/21/1992,46133 Acker Crossing
625,356,9/27/1981,51 Goodland Circle
626,169,4/11/1998,9 Alpine Parkway
627,346,11/5/1992,88167 Arrowood Alley
628,332,6/2/1993,5 Hauk Terrace
629,110,9/29/1990,355 Dapin Lane
630,372,1/4/2004,10 Steensland Junction
631,625,7/1/1987,9 Ridge Oak Drive
632,482,2/14/1997,29 Morning Road
633,28,4/23/1990,641 3rd Way
634,288,4/27/1993,4508 Sundown Point
635,376,11/14/1990,65 Dexter Parkway
636,784,5/10/2003,47727 Armistice Terrace
637,357,8/14/2003,8 8th Terrace
638,175,6/25/1985,6787 Manufacturers Point
639,163,6/23/1993,2 Garrison Plaza
640,86,1/4/1996,26 Forest Run Pass
641,442,11/9/1981,19 School Hill
642,804,12/19/2001,445 Russell Alley
643,893,1/7/2002,48308 Pennsylvania Plaza
644,135,2/1/1981,813 Emmet Pass
645,361,3/17/1996,375 Mitchell Street
646,811,1/8/1983,0 Golf Course Alley
647,649,11/12/1996,046 Superior Parkway
648,988,6/8/1996,08 Ronald Regan Avenue
649,274,10/29/1989,59 Kinsman Point
650,579,8/16/1996,72 Hoard Terrace
651,831,11/14/1986,356 Mallard Pass
